ID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Party
526,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
527,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0
528,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
529,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1
530,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1
531,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
532,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
533,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
534,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
535,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1
536,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
537,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
538,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
539,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0
540,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
541,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
542,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
543,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
544,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
545,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
546,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
547,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
548,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
549,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
550,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
551,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0
552,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
553,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
554,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
555,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
556,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
557,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
558,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
559,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1
560,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
561,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
562,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
563,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
564,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
565,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1
566,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
567,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1
568,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
569,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1
570,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
571,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
572,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
573,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
574,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0
575,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
576,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
577,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
578,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
579,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
580,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
581,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
582,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1
583,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0
584,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
585,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
586,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1
587,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0
588,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0
589,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
590,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0
591,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0
592,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
593,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1
594,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0
595,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0
596,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
597,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
598,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1
599,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1
600,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
